STORAGE_GEN_TPS_1	STORAGE_GEN_TPS_2	StateOfCharge
Oahu_Battery_4	2020122322	15.9337558305
Oahu_Battery_4	2025012300	0.0
Oahu_Battery_4	2025012302	113.929130163
Oahu_Battery_4	2025012304	139.343182666
Oahu_Battery_4	2025012306	0.0
Oahu_Battery_4	2025012308	0.0
Oahu_Battery_4	2025012310	142.840340945
Oahu_Battery_4	2025012312	285.680681889
Oahu_Battery_4	2025012314	324.637138511
Oahu_Battery_4	2025012316	324.637138511
Oahu_Battery_4	2025012318	180.754953118
Oahu_Battery_4	2025012320	48.7112765338
Oahu_Battery_4	2025012322	0.0
Oahu_Battery_4	2025022300	140.237520705
Oahu_Battery_4	2025022302	191.129272569
Oahu_Battery_4	2025022304	216.553765409
Oahu_Battery_4	2025022306	54.4349905844
Oahu_Battery_4	2025022308	0.0
Oahu_Battery_4	2025022310	87.729161338
Oahu_Battery_4	2025022312	230.569502283
Oahu_Battery_4	2025022314	324.637138511
Oahu_Battery_4	2025022316	324.637138511
Oahu_Battery_4	2025022318	162.318569255
Oahu_Battery_4	2025022320	0.0
Oahu_Battery_4	2025022322	0.0
Oahu_Battery_4	2025032300	0.0
Oahu_Battery_4	2025032302	73.204301815
Oahu_Battery_4	2025032304	0.0
Oahu_Battery_4	2025032306	0.0
Oahu_Battery_4	2025032308	142.840340945
Oahu_Battery_4	2025032310	181.796797566
Oahu_Battery_4	2025032312	324.637138511
Oahu_Battery_4	2025032314	324.637138511
Oahu_Battery_4	2025032316	324.637138511
Oahu_Battery_4	2025032318	165.128313107
Oahu_Battery_4	2025032320	2.80974385121
Oahu_Battery_4	2025032322	0.0
Oahu_Battery_4	2025042300	91.4143735169
Oahu_Battery_4	2025042302	162.318569255
Oahu_Battery_4	2025042304	162.318569255
Oahu_Battery_4	2025042306	0.0
Oahu_Battery_4	2025042308	0.0
Oahu_Battery_4	2025042310	73.4366828109
Oahu_Battery_4	2025042312	216.277023756
Oahu_Battery_4	2025042314	324.637138511
Oahu_Battery_4	2025042316	324.637138511
Oahu_Battery_4	2025042318	162.318569255
Oahu_Battery_4	2025042320	7.11035010449
Oahu_Battery_4	2025042322	0.0
Oahu_Battery_4	2025052300	79.6977895868
Oahu_Battery_4	2025052302	203.792726588
Oahu_Battery_4	2025052304	203.792726588
Oahu_Battery_4	2025052306	155.847268074
Oahu_Battery_4	2025052308	186.810033112
Oahu_Battery_4	2025052310	206.724242237
Oahu_Battery_4	2025052312	285.218574283
Oahu_Battery_4	2025052314	285.218574283
Oahu_Battery_4	2025052316	285.218574283
Oahu_Battery_4	2025052318	122.900005028
Oahu_Battery_4	2025052320	0.0
Oahu_Battery_4	2025052322	0.0
Oahu_Battery_4	2025062300	26.8060866814
Oahu_Battery_4	2025062302	0.0
Oahu_Battery_4	2025062304	62.800466786
Oahu_Battery_4	2025062306	37.5338567275
Oahu_Battery_4	2025062308	37.5338567275
Oahu_Battery_4	2025062310	70.9735796488
Oahu_Battery_4	2025062312	213.813920594
Oahu_Battery_4	2025062314	301.961415846
Oahu_Battery_4	2025062316	324.637138511
Oahu_Battery_4	2025062318	242.495965283
Oahu_Battery_4	2025062320	80.1773960281
Oahu_Battery_4	2025062322	0.0
Oahu_Battery_4	2025072300	142.840340945
Oahu_Battery_4	2025072302	271.800395888
Oahu_Battery_4	2025072304	141.458533744
Oahu_Battery_4	2025072306	2.41542333494
Oahu_Battery_4	2025072308	0.0
Oahu_Battery_4	2025072310	135.000565592
Oahu_Battery_4	2025072312	277.840906537
Oahu_Battery_4	2025072314	324.637138511
Oahu_Battery_4	2025072316	324.637138511
Oahu_Battery_4	2025072318	162.318569255
Oahu_Battery_4	2025072320	0.0
Oahu_Battery_4	2025072322	0.0
Oahu_Battery_4	2025082300	97.3055592265
Oahu_Battery_4	2025082302	97.3055592265
Oahu_Battery_4	2025082304	76.3652245608
Oahu_Battery_4	2025082306	0.0
Oahu_Battery_4	2025082308	61.423839079
Oahu_Battery_4	2025082310	163.133858961
Oahu_Battery_4	2025082312	276.434569602
Oahu_Battery_4	2025082314	281.604948458
Oahu_Battery_4	2025082316	324.637138511
Oahu_Battery_4	2025082318	295.88466572
Oahu_Battery_4	2025082320	185.788585753
Oahu_Battery_4	2025082322	55.9175906709
Oahu_Battery_4	2025092300	57.8404411373
Oahu_Battery_4	2025092302	76.0485457835
Oahu_Battery_4	2025092304	218.888886728
Oahu_Battery_4	2025092306	101.641827554
Oahu_Battery_4	2025092308	114.33710395
Oahu_Battery_4	2025092310	136.455762218
Oahu_Battery_4	2025092312	266.974643002
Oahu_Battery_4	2025092314	309.153305434
Oahu_Battery_4	2025092316	324.637138511
Oahu_Battery_4	2025092318	162.318569255
Oahu_Battery_4	2025092320	21.4311505983
Oahu_Battery_4	2025092322	0.0
Oahu_Battery_4	2025102300	108.998818897
Oahu_Battery_4	2025102302	39.5810142447
Oahu_Battery_4	2025102304	96.626678223
Oahu_Battery_4	2025102306	0.0
Oahu_Battery_4	2025102308	0.0
Oahu_Battery_4	2025102310	142.840340945
Oahu_Battery_4	2025102312	272.853169294
Oahu_Battery_4	2025102314	314.838703282
Oahu_Battery_4	2025102316	324.637138511
Oahu_Battery_4	2025102318	162.318569255
Oahu_Battery_4	2025102320	51.3297480476
Oahu_Battery_4	2025102322	0.0
Oahu_Battery_4	2025112300	157.337626017
Oahu_Battery_4	2025112302	186.057600705
Oahu_Battery_4	2025112304	149.53985105
Oahu_Battery_4	2025112306	0.0
Oahu_Battery_4	2025112308	0.0
Oahu_Battery_4	2025112310	96.9469009111
Oahu_Battery_4	2025112312	193.992622862
Oahu_Battery_4	2025112314	324.637138511
