gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Kahe_3,multiple,2020,144.49452591268218,46238.24829205832,114585.45991598666
Kahe_4,multiple,2020,12.647725903300863,4047.2722890562763,12267.262918119693
Kahe_5,multiple,2020,225.93633901742396,72299.62848557567,196296.70303656644
Kahe_5,multiple,2025,115.82793927064817,37064.940566607416,100272.4356073133
Kahe_5,multiple,2030,45.096906953002126,14431.010224960683,41180.38127585573
Kahe_5,multiple,2035,0.0,0.0,0.0
Kahe_5,multiple,2040,0.0,0.0,0.0
Kahe_6,multiple,2020,86.47044783158368,27670.54330610677,82391.36885237235
Kahe_6,multiple,2025,57.467290035228835,18389.532811273224,46749.35515270069
Kahe_6,multiple,2030,0.0,0.0,0.0
Kahe_6,multiple,2035,0.0,0.0,0.0
Kahe_6,multiple,2040,0.0,0.0,0.0
Kalaeloa_CC1,multiple,2020,658.6637447252906,3951982.468351749,455660.0324777117
Kalaeloa_CC1,multiple,2025,460.53743300182094,2763224.5980109265,319535.23781114636
Kalaeloa_CC1,multiple,2030,492.73702086095165,2956422.1251657107,340178.16133553645
Kalaeloa_CC1,multiple,2035,285.8081249999998,1714848.75,198327.79268607456
Kalaeloa_CC1,multiple,2040,413.8738366522579,2483243.019913548,289519.6753322714
Kalaeloa_CC1,multiple,2045,0.0,0.0,0.0
Kalaeloa_CC2,multiple,2020,358.64084175853804,2151845.050551229,255046.6805783405
Kalaeloa_CC2,multiple,2025,445.19840820228427,2671190.449213708,316575.602655942
Kalaeloa_CC2,multiple,2030,359.7333681006513,2158400.2086039074,251791.36572012384
Kalaeloa_CC2,multiple,2035,562.2149839659968,3373289.903795983,391580.54951870564
Kalaeloa_CC2,multiple,2040,297.0882327918862,1782529.3967513158,207508.3914640159
Kalaeloa_CC2,multiple,2045,0.0,0.0,0.0
Kalaeloa_CC3,multiple,2020,56.05891355625022,336353.48133750114,38241.62066211243
Kalaeloa_CC3,multiple,2025,35.36143236659353,212168.59419956122,24128.68713583325
Kalaeloa_CC3,multiple,2030,34.089999999999996,204540.0,23259.66503822501
Kalaeloa_CC3,multiple,2035,22.36483974894839,134189.03849369037,15263.335001762032
Kalaeloa_CC3,multiple,2040,0.0,0.0,10.551950750000007
Kalaeloa_CC3,multiple,2045,0.0,0.0,0.0
OffshoreWind,WND,2020,0.0,0.0,0.0
OffshoreWind,WND,2025,0.0,0.0,0.0
OffshoreWind,WND,2030,0.0,0.0,0.0
OffshoreWind,WND,2035,0.0,0.0,0.0
OffshoreWind,WND,2040,0.0,0.0,0.0
OffshoreWind,WND,2045,0.0,0.0,0.0
OnshoreWind,WND,2020,2165.2840823521196,0.0,0.0
OnshoreWind,WND,2025,2156.3760202038734,0.0,0.0
OnshoreWind,WND,2030,2153.197853411999,0.0,0.0
OnshoreWind,WND,2035,2150.860456283991,0.0,0.0
OnshoreWind,WND,2040,2157.8543452812464,0.0,0.0
OnshoreWind,WND,2045,2028.6018511719656,0.0,0.0
SlopedDistPV,SUN,2020,504.8120490801916,0.0,0.0
SlopedDistPV,SUN,2025,486.6178604263496,0.0,0.0
SlopedDistPV,SUN,2030,492.28180331531547,0.0,0.0
SlopedDistPV,SUN,2035,489.8937651959098,0.0,0.0
SlopedDistPV,SUN,2040,0.0,0.0,0.0
SlopedDistPV,SUN,2045,491.4243242318192,0.0,0.0
Waiau_10,multiple,2020,0.0,0.0,0.0
Waiau_10,multiple,2025,4.619482011100224,16423.169200036977,4688.777922190642
Waiau_10,multiple,2030,0.0,0.0,0.0
Waiau_10,multiple,2035,1.3413672360124875,4768.824951257303,1701.0072068672898
Waiau_10,multiple,2040,0.0,0.0,0.0
Waiau_10,multiple,2045,0.0,0.0,0.0
Waiau_6,multiple,2020,0.0,0.0,0.0
Waiau_7,multiple,2020,0.0,0.0,0.0
Waiau_8,multiple,2020,0.0,0.0,0.0
Waiau_9,multiple,2020,0.0,0.0,0.0
Waiau_9,multiple,2025,5.8977554998097,19897.903674357938,6754.847636819581
Waiau_9,multiple,2030,0.0,0.0,0.0
Waiau_9,multiple,2035,0.0,0.0,0.0
Waiau_9,multiple,2040,0.0,0.0,0.0
Waiau_9,multiple,2045,0.0,0.0,0.0
