generation_project	timepoint	load_zone	ChargeMW	DischargeMW	StateOfCharge
Oahu_Battery_4	2020-08-23-00:00	Oahu	0	5.9438	0
Oahu_Battery_4	2020-08-23-02:00	Oahu	23.7479	0	41.7963
Oahu_Battery_4	2020-08-23-04:00	Oahu	27.6422	0	90.4466
Oahu_Battery_4	2020-08-23-06:00	Oahu	0	1.78207	86.8825
Oahu_Battery_4	2020-08-23-08:00	Oahu	1.62243	0	89.7379
Oahu_Battery_4	2020-08-23-10:00	Oahu	0	0	89.7379
Oahu_Battery_4	2020-08-23-12:00	Oahu	32.5949	0	147.105
Oahu_Battery_4	2020-08-23-14:00	Oahu	5.31945	0	156.467
Oahu_Battery_4	2020-08-23-16:00	Oahu	1.27107	0	158.704
Oahu_Battery_4	2020-08-23-18:00	Oahu	0	20.311	118.082
Oahu_Battery_4	2020-08-23-20:00	Oahu	0	39.6761	38.7301
Oahu_Battery_4	2020-08-23-22:00	Oahu	0	13.4212	11.8876
Oahu_Battery_4	2020-09-23-00:00	Oahu	39.6761	0	69.8299
Oahu_Battery_4	2020-09-23-02:00	Oahu	17.9092	0	101.35
Oahu_Battery_4	2020-09-23-04:00	Oahu	20.5884	0	137.586
Oahu_Battery_4	2020-09-23-06:00	Oahu	0	39.6761	58.2336
Oahu_Battery_4	2020-09-23-08:00	Oahu	0	18.9327	20.3682
Oahu_Battery_4	2020-09-23-10:00	Oahu	23.8498	0	62.3438
Oahu_Battery_4	2020-09-23-12:00	Oahu	37.6004	0	128.521
Oahu_Battery_4	2020-09-23-14:00	Oahu	17.1499	0	158.704
Oahu_Battery_4	2020-09-23-16:00	Oahu	0	0	158.704
Oahu_Battery_4	2020-09-23-18:00	Oahu	0	24.1111	110.482
Oahu_Battery_4	2020-09-23-20:00	Oahu	0	15.565	79.3522
Oahu_Battery_4	2020-09-23-22:00	Oahu	0	39.6761	0
Oahu_Battery_4	2020-10-23-00:00	Oahu	39.6761	0	69.8299
Oahu_Battery_4	2020-10-23-02:00	Oahu	0	26.192	17.446
Oahu_Battery_4	2020-10-23-04:00	Oahu	35.174	0	79.3522
Oahu_Battery_4	2020-10-23-06:00	Oahu	0	39.6761	0
Oahu_Battery_4	2020-10-23-08:00	Oahu	25.9506	0	45.673
Oahu_Battery_4	2020-10-23-10:00	Oahu	24.5463	0	88.8744
Oahu_Battery_4	2020-10-23-12:00	Oahu	39.6761	0	158.704
Oahu_Battery_4	2020-10-23-14:00	Oahu	0	0	158.704
Oahu_Battery_4	2020-10-23-16:00	Oahu	0	13.5385	131.627
Oahu_Battery_4	2020-10-23-18:00	Oahu	0	39.6761	52.2751
Oahu_Battery_4	2020-10-23-20:00	Oahu	0	4.60573	43.0636
