load_zone,period,AES,Airport_DSG,Battery_4,Battery_6,Battery_Conting,Battery_Reg,CC_152,CIP_CT,CentralTrackingPV,FlatDistPV,H-Power,Honolulu_8,Honolulu_9,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OnshoreWind,SlopedDistPV,Waiau_10,Waiau_6,Waiau_7,Waiau_8,Waiau_9,hydro,batteries,fuel cells
Oahu,2020,180.0,0.0,68.3920810443,0.0,53.1158461888,234.86343664,150.586,0.0,53.0114988161,180.264,73.0,53.4,54.4,48.84,0.0,0.0,86.1,85.3,134.3,0.0,90.0,90.0,28.0,651.4837500413,263.736,0.0,53.5,0.0,0.0,52.9,0,0.0,0
Oahu,2025,180.0,0.0,68.3920810443,47.6668986892,53.1158461888,257.3702949113,150.586,113.0,312.3556057477,180.264,73.0,0.0,0.0,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,651.4837500413,263.736,49.9,0.0,0.0,0.0,52.9,0,0.0,0
Oahu,2030,180.0,0.0,68.3920810443,174.6021759732,53.1158461888,257.3702949113,150.586,0.0,431.37557926669996,180.264,73.0,0.0,0.0,48.84,0.0,0.0,0.0,0.0,134.3,0.0,90.0,90.0,28.0,651.4837500413,263.736,49.9,0.0,0.0,0.0,52.9,0,0.0,0
Oahu,2035,180.0,0.0,0.0,337.6655407262,0.0,282.9884499103,150.586,0.0,587.3830546773002,180.264,73.0,0.0,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,685.619391030296,263.736,49.9,0.0,0.0,0.0,52.9,0,0.0,0
Oahu,2040,180.0,0.0,0.0,646.556702653,0.0,367.235990901,150.586,0.0,1268.0415920765,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,721.939111760596,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Oahu,2045,180.0,0.0,0.0,1471.336733006,0.0,721.8087590709999,150.586,0.0,1294.1802994418,1235.96389217,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,721.939111760596,258.601403755,0.0,0.0,0.0,0.0,0.0,0,0.0,0
