load_zone,period,AES,Airport_DSG,Battery_Bulk,Battery_Conting,Battery_Reg,CC_152,CIP_CT,CentralTrackingPV,FlatDistPV,H-Power,Hawaii_Cogen,IC_Barge,IC_MCBH,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OffshoreWind,OnshoreWind,SlopedDistPV,Tesoro_Hawaii,Waiau_10,Waiau_3,Waiau_4,Waiau_5,Waiau_6,Waiau_7,Waiau_8,Waiau_9
Oahu,2020,1331.2415605227634,1.269215955983494,16.566649994128873,0.0,3.0741846482470727e-15,1618.3007721796612,7.413164450271999,438.4459800113378,643.8953095910584,374.92800000000045,92.74500000000002,0.0,0.0,10.844569565982809,0.0,10.32255315523743,112.40044535167752,16.0555818431912,125.98854810454509,0.0,573.0635541199716,636.5890644742659,51.25006446335273,0.0,1093.8051067651863,507.7791620725158,153.4789999999999,1.307120328527664,0.0,5.3447886760529535,38.77019356600293,30.357996618233802,0.0,63.04433988904935,0.42655295735900955
Oahu,2025,0,1.4941403026134803,115.42386806735524,0.0,0.0,2128.29436277494,5.716485540713235,482.8759708195513,634.1599559971197,374.92800000000045,92.74500000000002,0.0,0.0,8.461478734547502,0.0,95.53492930464883,189.35474506191315,51.730691884456675,322.8495788539028,0.0,645.5763717333303,679.5474607978001,81.67274584470186,0.0,1771.1241622226937,507.0327742258182,153.4789999999999,0.0,0,0,37.604268290640384,4.608940852819808,0.0,26.127267057829762,0.0
Oahu,2030,0,0.0,672.6292043175636,0.0,0.0,1576.6706061996338,0.0,2046.3928103712665,564.1606702145925,374.92800000000045,92.74500000000002,0.0,0.0,12.601160968868477,0,0,49.01791071370423,4.826552585344895,102.64790398756672,0.0,435.6052540417697,585.1338697304905,67.01220975991602,0.0,2091.3059545465794,472.9265780284077,153.4789999999999,3.5547536317836994,0,0,0,0,0.0,6.799543328748269,0.0
Oahu,2035,0,0.0,844.1857523887548,0.0,0.0,1393.427848338043,0.0,2442.8723277555528,548.3465523676423,374.92800000000045,92.74500000000002,0.0,0.0,6.075902847444498,0,0,13.487026134800551,20.81343466299862,50.52026965644601,0.0,586.5746712764725,408.3335407793714,54.136289111622666,0.0,2361.372001238039,434.68319269639267,153.4789999999999,4.807120221095181,0,0,0,0,0,0,3.5524021136434154
Oahu,2040,0,0.0,1236.51887412404,0.0,0.0,1275.4392774734754,0.0,3181.1225687938227,548.7679598459683,374.92800000000045,92.74500000000002,0.0,0.0,6.258799884442585,0,0,0,0,30.10730763001126,0.0,430.21792513935424,540.2919555308978,41.363996999451366,0.0,2354.5093854780494,420.4673653458948,153.4789999999999,3.696937950903369,0,0,0,0,0,0,0.3613851444291609
Oahu,2045,0,0.0,2927.0558507205556,0.0,0.0,589.4108010441906,0.0,6493.806744105731,377.10725318376467,374.92800000000045,0,0.0,0.0,9.983384848968369,0,0,0,0,17.872855343919184,0.0,32.172214580467674,14.097936726272351,4.386024759284733,0.0,2183.219204360105,148.7068201813831,0,0.0,0,0,0,0,0,0,0.0
