load_zone,period,Battery,Biodiesel,Biodiesel/Coal/Diesel/LNG/LSFO,Biodiesel/Diesel/LNG,Biodiesel/Diesel/LNG/LSFO,MSW,SUN,WND,hydro,fuel cells
Oahu,2020,219.52962524786386,8.0,180.0,264.64,1169.8719999999998,73.0,859.6999999999999,376.8723547123199,0,0
Oahu,2025,318.02973850585386,8.0,0.0,264.64,1123.272,73.0,877.9930072945839,612.8726451630104,0,0
Oahu,2030,684.0938201401525,0.0,0.0,151.64000000000001,933.172,73.0,1590.1928083744847,762.2612199585969,0,0
Oahu,2035,815.9683234349484,0.0,0.0,151.64000000000001,847.072,73.0,1793.4799895249416,891.6423843726363,0,0
Oahu,2040,1102.5772296741652,0.0,0.0,151.64000000000001,675.672,73.0,2135.2054548354304,891.6423843726363,0,0
Oahu,2045,2261.001602302035,0.0,0.0,48.84,643.472,73.0,3945.458909256582,797.5,0,0
