GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_AES,1993,2213474.2458080756,.,75332.52685313197
Oahu_Airport_DSG,2013,530587.2444682642,.,7777.562472374412
Oahu_Battery_Bulk,2020,316789.0743489447,363848.3209007807,34612.93667875133
Oahu_Battery_Bulk,2025,218670.1897424481,251153.804885348,23892.293150075002
Oahu_Battery_Bulk,2030,177979.4601706816,204418.43794965965,19446.351796275783
Oahu_Battery_Bulk,2035,166855.74391001402,191642.285577806,18230.954809008552
Oahu_Battery_Bulk,2040,155732.0276493465,178866.13320595233,17015.557821741328
Oahu_Battery_Bulk,2045,144608.31138867894,166089.98083409862,15800.160834474094
Oahu_Battery_Conting,2020,498713.2347993351,0.0,34612.93667875133
Oahu_Battery_Conting,2025,344247.0921851221,0.0,23892.293150075002
Oahu_Battery_Conting,2030,280188.6791455114,0.0,19446.351796275783
Oahu_Battery_Conting,2035,262676.8866989171,0.0,18230.954809008552
Oahu_Battery_Conting,2040,245165.09425232263,0.0,17015.557821741328
Oahu_Battery_Conting,2045,227653.30180572826,0.0,15800.160834474094
Oahu_Battery_Reg,2020,680637.3952497253,0.0,34612.93667875133
Oahu_Battery_Reg,2025,469823.9946277961,0.0,23892.293150075002
Oahu_Battery_Reg,2030,382397.89812034124,0.0,19446.351796275783
Oahu_Battery_Reg,2035,358498.02948782005,0.0,18230.954809008552
Oahu_Battery_Reg,2040,334598.16085529886,0.0,17015.557821741328
Oahu_Battery_Reg,2045,310698.29222277756,0.0,15800.160834474094
Oahu_CC_152,2020,1622023.1140276378,.,17290.0
Oahu_CC_152,2025,1583249.602873334,.,17290.0
Oahu_CC_152,2030,1550966.3236437843,.,17290.0
Oahu_CC_152,2035,1526913.3388212482,.,17290.0
Oahu_CC_152,2040,1510660.103347832,.,17290.0
Oahu_CC_152,2045,1511097.2027811555,.,17290.0
Oahu_CentralTrackingPV_PV_01_B_00_15,2020,2112847.3863528315,.,15088.016108053882
Oahu_CentralTrackingPV_PV_01_B_00_15,2025,1709211.4227093305,.,12205.61865683258
Oahu_CentralTrackingPV_PV_01_B_00_15,2030,1305575.4590658296,.,9323.221205611277
Oahu_CentralTrackingPV_PV_01_B_00_15,2035,1247587.9508492437,.,8909.127663555679
Oahu_CentralTrackingPV_PV_01_B_00_15,2040,1189600.4426326577,.,8495.034121500079
Oahu_CentralTrackingPV_PV_01_B_00_15,2045,1131612.9344160713,.,8080.940579444481
Oahu_CentralTrackingPV_PV_01_B_15_17,2020,2167738.643342032,.,15088.016108053882
Oahu_CentralTrackingPV_PV_01_B_15_17,2025,1764102.6796985313,.,12205.61865683258
Oahu_CentralTrackingPV_PV_01_B_15_17,2030,1360466.7160550305,.,9323.221205611277
Oahu_CentralTrackingPV_PV_01_B_15_17,2035,1302479.2078384445,.,8909.127663555679
Oahu_CentralTrackingPV_PV_01_B_15_17,2040,1244491.6996218583,.,8495.034121500079
Oahu_CentralTrackingPV_PV_01_B_15_17,2045,1186504.191405272,.,8080.940579444481
Oahu_CentralTrackingPV_PV_01_B_17_20,2020,2176887.1861735657,.,15088.016108053882
Oahu_CentralTrackingPV_PV_01_B_17_20,2025,1773251.2225300649,.,12205.61865683258
Oahu_CentralTrackingPV_PV_01_B_17_20,2030,1369615.2588865638,.,9323.221205611277
Oahu_CentralTrackingPV_PV_01_B_17_20,2035,1311627.750669978,.,8909.127663555679
Oahu_CentralTrackingPV_PV_01_B_17_20,2040,1253640.242453392,.,8495.034121500079
Oahu_CentralTrackingPV_PV_01_B_17_20,2045,1195652.7342368057,.,8080.940579444481
Oahu_CentralTrackingPV_PV_01_C_00_15,2020,2112847.3863528315,.,15088.016108053882
Oahu_CentralTrackingPV_PV_01_C_00_15,2025,1709211.4227093305,.,12205.61865683258
Oahu_CentralTrackingPV_PV_01_C_00_15,2030,1305575.4590658296,.,9323.221205611277
Oahu_CentralTrackingPV_PV_01_C_00_15,2035,1247587.9508492437,.,8909.127663555679
Oahu_CentralTrackingPV_PV_01_C_00_15,2040,1189600.4426326577,.,8495.034121500079
Oahu_CentralTrackingPV_PV_01_C_00_15,2045,1131612.9344160713,.,8080.940579444481
Oahu_CentralTrackingPV_PV_01_C_15_17,2020,2167738.643342032,.,15088.016108053882
Oahu_CentralTrackingPV_PV_01_C_15_17,2025,1764102.6796985313,.,12205.61865683258
Oahu_CentralTrackingPV_PV_01_C_15_17,2030,1360466.7160550305,.,9323.221205611277
Oahu_CentralTrackingPV_PV_01_C_15_17,2035,1302479.2078384445,.,8909.127663555679
Oahu_CentralTrackingPV_PV_01_C_15_17,2040,1244491.6996218583,.,8495.034121500079
Oahu_CentralTrackingPV_PV_01_C_15_17,2045,1186504.191405272,.,8080.940579444481
Oahu_CentralTrackingPV_PV_01_C_17_20,2020,2176887.1861735657,.,15088.016108053882
Oahu_CentralTrackingPV_PV_01_C_17_20,2025,1773251.2225300649,.,12205.61865683258
Oahu_CentralTrackingPV_PV_01_C_17_20,2030,1369615.2588865638,.,9323.221205611277
