GENERATION_PROJECT,build_year,build_gen_predetermined,build_gen_energy_predetermined
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2013,4.945054137500684,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2014,5.172550574819119,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2015,3.237070049274056,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2016,1.8650481920099424,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2017,2.4383673869858096,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2018,1.4347066341103702,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2019,1.1790372633778836,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2020,1.0902925231236387,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2013,6.132047860950571,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2014,6.414151757701326,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2015,4.01408516862681,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2016,2.3127279213498233,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2017,3.023664676628811,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2018,1.7790886615519637,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2019,1.4620492977113273,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2020,1.3520025763782222,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_4,2013,3.674620121235697,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_4,2014,3.843670441583103,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_4,2015,2.405434279618184,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_4,2016,1.3858986014858456,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_4,2017,1.8119263437854987,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_4,2018,1.0661161069587135,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_4,2019,0.8761307624196754,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_4,2020,0.8101854362160471,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2013,10.228305542610471,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2014,10.698857129316526,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2015,6.695526602170309,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2016,3.857648921354867,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2017,5.043497192496434,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2018,2.9675343099697433,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2019,2.438710080947142,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2020,2.2551512576500543,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2013,4.120811517145066,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2014,4.310388802437455,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2015,2.6975145610025253,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2016,1.5541815834496697,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2017,2.0319398194496823,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2018,1.195569443159737,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2019,0.9825150946732405,.
