GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Oahu_CentralTrackingPV_PV_01,2020012300,0.0
Oahu_CentralTrackingPV_PV_01,2020012302,0.0
Oahu_CentralTrackingPV_PV_01,2020012304,0.0
Oahu_CentralTrackingPV_PV_01,2020012306,0.0
Oahu_CentralTrackingPV_PV_01,2020012308,0.151647
Oahu_CentralTrackingPV_PV_01,2020012310,0.354326
Oahu_CentralTrackingPV_PV_01,2020012312,0.511081
Oahu_CentralTrackingPV_PV_01,2020012314,0.51513
Oahu_CentralTrackingPV_PV_01,2020012316,0.215501
Oahu_CentralTrackingPV_PV_01,2020012318,0.0
Oahu_CentralTrackingPV_PV_01,2020012320,0.0
Oahu_CentralTrackingPV_PV_01,2020012322,0.0
Oahu_CentralTrackingPV_PV_01,2020022300,0.0
Oahu_CentralTrackingPV_PV_01,2020022302,0.0
Oahu_CentralTrackingPV_PV_01,2020022304,0.0
Oahu_CentralTrackingPV_PV_01,2020022306,0.0
Oahu_CentralTrackingPV_PV_01,2020022308,0.626264
Oahu_CentralTrackingPV_PV_01,2020022310,0.437371
Oahu_CentralTrackingPV_PV_01,2020022312,0.867762
Oahu_CentralTrackingPV_PV_01,2020022314,0.886085
Oahu_CentralTrackingPV_PV_01,2020022316,0.866771
Oahu_CentralTrackingPV_PV_01,2020022318,0.0
Oahu_CentralTrackingPV_PV_01,2020022320,0.0
Oahu_CentralTrackingPV_PV_01,2020022322,0.0
Oahu_CentralTrackingPV_PV_01,2020032300,0.0
Oahu_CentralTrackingPV_PV_01,2020032302,0.0
Oahu_CentralTrackingPV_PV_01,2020032304,0.0
Oahu_CentralTrackingPV_PV_01,2020032306,0.0
Oahu_CentralTrackingPV_PV_01,2020032308,0.884049
Oahu_CentralTrackingPV_PV_01,2020032310,0.93794
Oahu_CentralTrackingPV_PV_01,2020032312,0.978435
Oahu_CentralTrackingPV_PV_01,2020032314,1.0
Oahu_CentralTrackingPV_PV_01,2020032316,0.63167
Oahu_CentralTrackingPV_PV_01,2020032318,0.0232282
Oahu_CentralTrackingPV_PV_01,2020032320,0.0
