GENERATION_PROJECT,fuel
Oahu_AES,Biodiesel
Oahu_AES,Coal
Oahu_AES,Diesel
Oahu_AES,LNG
Oahu_AES,LSFO
Oahu_Airport_DSG,Biodiesel
Oahu_CC_152,Biodiesel
Oahu_CC_152,Diesel
Oahu_CC_152,LNG
Oahu_CC_152,LSFO
Oahu_CIP_CT,Biodiesel
Oahu_CIP_CT,Diesel
Oahu_CIP_CT,LNG
Oahu_Hawaii_Cogen,Biodiesel
Oahu_Hawaii_Cogen,Diesel
Oahu_Hawaii_Cogen,LNG
Oahu_Hawaii_Cogen,LSFO
Oahu_IC_Barge,Biodiesel
Oahu_IC_Barge,Diesel
Oahu_IC_Barge,LNG
Oahu_IC_MCBH,Biodiesel
Oahu_IC_MCBH,Diesel
Oahu_IC_MCBH,LNG
Oahu_IC_Schofield,Biodiesel
Oahu_IC_Schofield,Diesel
Oahu_IC_Schofield,LNG
Oahu_Kahe_1,Biodiesel
Oahu_Kahe_1,Diesel
Oahu_Kahe_1,LNG
Oahu_Kahe_1,LSFO
Oahu_Kahe_2,Biodiesel
Oahu_Kahe_2,Diesel
Oahu_Kahe_2,LNG
Oahu_Kahe_2,LSFO
Oahu_Kahe_3,Biodiesel
Oahu_Kahe_3,Diesel
Oahu_Kahe_3,LNG
Oahu_Kahe_3,LSFO
Oahu_Kahe_4,Biodiesel
Oahu_Kahe_4,Diesel
Oahu_Kahe_4,LNG
Oahu_Kahe_4,LSFO
Oahu_Kahe_5,Biodiesel
Oahu_Kahe_5,Diesel
Oahu_Kahe_5,LNG
Oahu_Kahe_5,LSFO
Oahu_Kahe_6,Biodiesel
Oahu_Kahe_6,Diesel
Oahu_Kahe_6,LNG
Oahu_Kahe_6,LSFO
Oahu_Kalaeloa_CC1,Biodiesel
Oahu_Kalaeloa_CC1,Diesel
Oahu_Kalaeloa_CC1,LNG
Oahu_Kalaeloa_CC1,LSFO
Oahu_Kalaeloa_CC2,Biodiesel
Oahu_Kalaeloa_CC2,Diesel
Oahu_Kalaeloa_CC2,LNG
Oahu_Kalaeloa_CC2,LSFO
Oahu_Kalaeloa_CC3,Biodiesel
Oahu_Kalaeloa_CC3,Diesel
Oahu_Kalaeloa_CC3,LNG
Oahu_Kalaeloa_CC3,LSFO
Oahu_Tesoro_Hawaii,Biodiesel
Oahu_Tesoro_Hawaii,Diesel
Oahu_Tesoro_Hawaii,LNG
Oahu_Tesoro_Hawaii,LSFO
Oahu_Waiau_10,Biodiesel
Oahu_Waiau_10,Diesel
Oahu_Waiau_10,LNG
Oahu_Waiau_3,Biodiesel
Oahu_Waiau_3,Diesel
Oahu_Waiau_3,LNG
Oahu_Waiau_3,LSFO
Oahu_Waiau_4,Biodiesel
Oahu_Waiau_4,Diesel
Oahu_Waiau_4,LNG
Oahu_Waiau_4,LSFO
Oahu_Waiau_5,Biodiesel
Oahu_Waiau_5,Diesel
Oahu_Waiau_5,LNG
Oahu_Waiau_5,LSFO
Oahu_Waiau_6,Biodiesel
Oahu_Waiau_6,Diesel
Oahu_Waiau_6,LNG
Oahu_Waiau_6,LSFO
Oahu_Waiau_7,Biodiesel
Oahu_Waiau_7,Diesel
Oahu_Waiau_7,LNG
Oahu_Waiau_7,LSFO
Oahu_Waiau_8,Biodiesel
Oahu_Waiau_8,Diesel
Oahu_Waiau_8,LNG
Oahu_Waiau_8,LSFO
Oahu_Waiau_9,Biodiesel
Oahu_Waiau_9,Diesel
Oahu_Waiau_9,LNG
