regional_fuel_market,fuel
Hawaii_Biodiesel,Biodiesel
Hawaii_Coal,Coal
Hawaii_Diesel,Diesel
Hawaii_LNG,LNG
Hawaii_LSFO,LSFO
Hawaii_Motor_Diesel,Motor_Diesel
Hawaii_Motor_Gasoline,Motor_Gasoline
Hawaii_Pellet-Biomass,Pellet-Biomass
